,修課學年,修課學期,學號_id,姓名_id,學院名稱,系所名稱,班級名稱,授課班級碼,授課班級,課號,課程編碼,課程名稱,教師員編,授課教師,課程類別,必選修別,學分數,選課狀況
146,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304071,3604106,半導體元件概論,11467,胡心卉,★,選,3.0,
147,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305329,3602012,電路學(一),11678,陳晏笙,▲,必,3.0,
148,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304071,3604106,半導體元件概論,11467,胡心卉,★,選,3.0,
149,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,309298,3604122,人體解剖學及生理學,21704,房同經,★,選,3.0,
150,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304052,3604056,人工智慧,24336,賴建宏,★,選,3.0,
151,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,309298,3604122,人體解剖學及生理學,21704,房同經,★,選,3.0,
152,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,304052,3604056,人工智慧,24336,賴建宏,★,選,3.0,
153,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305331,3603051,離散數學,11984,黃柏鈞,▲,必,3.0,撤選
154,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2667,電子二乙,305332,3601010,通訊工程導論,11991,陳維昌,★,選,3.0,
155,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304052,3604056,人工智慧,11130,黃育賢,★,選,3.0,
156,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304052,3604056,人工智慧,11130,黃育賢,★,選,3.0,
157,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,309298,3604122,人體解剖學及生理學,11391,王多柏,★,選,3.0,
158,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304052,3604056,人工智慧,11130,黃育賢,★,選,3.0,
159,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304071,3604106,半導體元件概論,11467,胡心卉,★,選,3.0,
160,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,309298,3604122,人體解剖學及生理學,21704,房同經,★,選,3.0,
161,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2423,電子四甲,309298,3604122,人體解剖學及生理學,11391,王多柏,★,選,3.0,
162,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,309298,3604122,人體解剖學及生理學,11391,王多柏,★,選,3.0,
163,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,304052,3604056,人工智慧,12084,賴冠廷,★,選,3.0,
164,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2541,電子三乙,309298,3604122,人體解剖學及生理學,21704,房同經,★,選,3.0,
165,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2666,電子二甲,305326,3602001,工程數學(一),11894,楊濠瞬,▲,必,3.0,撤選
166,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2424,電子四乙,304052,3604056,人工智慧,12084,賴冠廷,★,選,3.0,
167,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304071,3604106,半導體元件概論,11467,胡心卉,★,選,3.0,
168,111,1,27.0,88.0,電資學院,電子工程系,電子四甲,2788,電子一甲,305828,1401041,物理,10410,陳堯輝,▲,必,3.0,
169,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304057,3604075,無線通訊概論,11991,陳維昌,★,選,3.0,
170,111,1,28.0,213.0,電資學院,電子工程系,電子四甲,2540,電子三甲,304807,3602061,計算機結構,12376,郭宏源,★,選,3.0,
