CourseCode,CourseID,AcademicYear,Semester,CourseName,Period,Building,Classroom
3201001,306054,111,1,化學,"二：1　四：1, 2",第三教學大樓,三教201(e)
3201003,306055,111,1,化學實習,"一：6, 7, 8",第三教學大樓,三教302(e)
3202033,306057,111,1,生物學概論,"三：7, 8",第三教學大樓,三教408(e)
3301022,306058,111,1,材料科學導論,"三：3, 4　四：4",第三教學大樓,三教301(e)
8401029,306075,111,1,試作技術,"一：5, 6, 7",第三教學大樓,三教403(e)
1404006,306091,111,1,國文,"五：3, 4",第二教學大樓,二教305(e)
A501002,306093,111,1,文學史（一）,"一：3, 4",第三教學大樓,三教311(e)
A501204,306099,111,1,網路與多媒體,"二：7, 8",第三教學大樓,三教203(e)
A501209,306100,111,1,基本設計,"三：1, 2",化學工程館,化工305
1400099,306108,111,1,服務學習,四：9,第一教學大樓,一教1F(e)
1401032,306111,111,1,微積分,"一：4　二：1, 2",第三教學大樓,三教207(e)
AB01004,306112,111,1,計算機概論,"五：7, 8, 9",化學工程館,化工105
AB01021,306114,111,1,會計學,"二：8, 9　四：5",第二教學大樓,二教303(e)
1404006,306124,111,1,國文,"一：3, 4",第三教學大樓,三教401(e)
AC11001,306129,111,1,故事板與角色設計,"四：8, 9, A",第三教學大樓,三教203(e)
AC21501,306134,111,1,基礎電腦輔助設計(一),"五：8, 9, A",第二教學大樓,二教304(e)
1001002,306135,111,1,體育,"二：1, 2",第二教學大樓,二教204(e)
AT01006,306140,111,1,基礎電腦輔助設計(一),"三：2, 3, 4",第三教學大樓,三教508(e)
C001015,306156,111,1,日文一,"一：3, 4",第三教學大樓,三教402(e)
